"gene_id","gene_name","n_targets","best_target","delta_corr","pseudotime_target","n_NORMAL","n_PRIMARY","n_MET","iso_up_id","iso_up_name","iso_down_id","iso_down_name","iso_up_corr","iso_down_corr"
"ENSG00000136279.21","DBNL",43,"SIRNA_EIF4GI_UP",1.34146132256061,FALSE,1,0,4,"ENST00000494774.5","DBNL-220","ENST00000432854.5","DBNL-204",0.737503181885479,-0.603958140675135
"ENSG00000125691.14","RPL23",42,"PID_P38_MKK3_6PATHWAY",1.32940486957997,FALSE,0,0,10,"ENST00000394332.5","RPL23-203","ENST00000245857.9","RPL23-201",0.680558423719721,-0.648846445860252
"ENSG00000152439.13","ZNF773",42,"EIF4E_UP",1.27290264841345,FALSE,0,0,23,"ENST00000282292.9","ZNF773-201","ENST00000599847.5","ZNF773-205",0.667960750520513,-0.604941897892934
"ENSG00000167969.13","ECI1",42,"SIRNA_EIF4GI_UP",1.35400292804324,FALSE,17,0,2,"ENST00000566379.1","ECI1-206","ENST00000301729.9","ECI1-201",0.646154149650276,-0.707848778392964
"ENSG00000127947.16","PTPN12",41,"CAMP_UP.V1_UP",1.35506668059543,FALSE,0,0,22,"ENST00000248594.11","PTPN12-201","ENST00000415482.6","PTPN12-203",0.64115261766858,-0.713914062926853
"ENSG00000156869.14","FRRS1",41,"SRC_UP.V1_UP",1.38249776212085,FALSE,2,1,41,"ENST00000646001.2","FRRS1-205","ENST00000287474.9","FRRS1-201",0.698866647593105,-0.683631114527744
"ENSG00000151131.11","NOPCHAP1",40,"EIF4E_UP",1.59118668414486,FALSE,2,9,31,"ENST00000622317.5","NOPCHAP1-205","ENST00000552951.7","NOPCHAP1-204",0.777388476498857,-0.813798207646004
"ENSG00000173548.9","SNX33",40,"EIF4E_UP",1.53754477774813,FALSE,7,11,35,"ENST00000569152.1","SNX33-202","ENST00000308527.6","SNX33-201",0.77805536299651,-0.759489414751625
"ENSG00000221926.13","TRIM16",40,"SRC_UP.V1_UP",1.43121524653146,FALSE,0,3,39,"ENST00000577886.5","TRIM16-211","ENST00000416464.6","TRIM16-202",0.679725747930412,-0.751489498601043
"ENSG00000113761.12","ZNF346",39,"EIF4E_UP",1.46259074087401,FALSE,1,6,31,"ENST00000511834.5","ZNF346-208","ENST00000358149.8","ZNF346-201",0.753594421550989,-0.708996319323024
